schema_name,table_name,table_description
customer_success,fct_book_of_business,
customer_success,fct_net_promoter_score,
engagement,fct_user_activity,This table contains information on user activity and engagement with the Fellow app on a snapshot date.
engagement,fct_user_activity__look_back,"This table contains information on user activity and engagement in the past 1, 7, 14, 30, 60 days."
engagement,fct_user_retention,
engagement,fct_user_session__client_side,
engagement,fct_user_session__server_side,
engagement,fct_workspace_active_user,
engagement,fct_workspace_feature_usage,
engagement,fct_workspace_health_classification,
experiment,dim_experiment,
experiment,dim_experiment_participant,
experiment,fct_experiment_event_stream,
go_to_market,dim_company,
go_to_market,dim_company__associated_contact,
go_to_market,dim_company__associated_fellow_workspace,
go_to_market,dim_company__sales,
go_to_market,dim_company__touch_point__utm,
go_to_market,fct_go_to_market_funnel,
go_to_market,fct_sales_deal,
go_to_market,fct_sales_deal__touch_point__utm,
go_to_market,fct_sales_engagement__company,
go_to_market,fct_sales_engagement__deal,
go_to_market,fct_sales_meeting,
marketing,dim_marketing_event_stream__session,
marketing,dim_workspace_conversion_pipeline,
marketing,fct_marketing_event_stream,
marketing,fct_touch_point__affise,
marketing,fct_touch_point__fbclid,
marketing,fct_touch_point__gclid,
marketing,fct_touch_point__li_fat_id,
marketing,fct_touch_point__msclkid,
marketing,fct_touch_point__utm__fellow_user,
marketing,fct_touch_point__utm__fellow_workspace,
marketing,fct_touch_point__utm__hubspot_contact,
marketing,fct_touch_point__utm__hubspot_contact__01,
marketing,fct_touch_point__utm__hubspot_contact__02,
marketing,fct_touch_point__utm__hubspot_contact__03,
marketing,fct_touch_point__utm__hubspot_contact__04,
pods,fct_pods_cohort_v202210,
pods,fct_pods_cohort_v202310,
pods,fct_pods_workspace_metric,
product_core,dim_calendar_event__canonical__attendee__cross_workspace,
product_core,dim_calendar_event__collection,
product_core,dim_calendar_event__collection__recurring,
product_core,dim_calendar_event__collection__single,
product_core,dim_email_message,
product_core,dim_fellow_user,This table contains details on the user of the Fellow app.
product_core,dim_fellow_workspace,This table contains details on the workspace of the Fellow app.
product_core,dim_invite,
product_core,dim_meeting_recorder__credit_usage,
product_core,dim_note,
product_core,fct_calendar_event_metric__user,
product_core,fct_calendar_event_metric__workspace,
product_core,fct_email_activity,
product_core,fct_fellow_user_attribute,
product_core,fct_fellow_workspace_attribute,
product_core,fct_user_invite,
sales,dim_customer,"This table contains details on the customer information, which are the workspaces that have subscribed or is currently subscribed."
sales,fct_customer_attribute,
sales,fct_customer_invoice,
sales,fct_customer_one_time_purchase,
sales,fct_customer_payment,
sales,fct_customer_subscription,
sales,fct_customer_subscription_quantity,
sales,fct_customer_subscription_quantity__add_on,
sales,fct_customer_subscription_quantity__all,This table contains details on the complete subscription history of a workspace.
sales,fct_monthly_recurring_revenue,
sales,fct_monthly_recurring_revenue__all,
sales,fct_monthly_recurring_revenue__by__workspace__cadence__daily,
sales,fct_monthly_recurring_revenue__by__workspace__cadence__monthly,
sales,fct_monthly_recurring_revenue__by__workspace__cadence__weekly,
sales,fct_monthly_recurring_revenue__by__workspace__product__cadence__daily,
sales,fct_monthly_recurring_revenue__by__workspace__product__cadence__monthly,
sales,fct_monthly_recurring_revenue__by__workspace__product__cadence__weekly,
sales,fct_monthly_recurring_revenue__pivoted,"This table is the pivoted version of fct_monthly_recurring_revenue, with columns being the month number and entries being the mrr of the workspace."
utilities,dim_date,"This table contains list of dates and their information like year number, month number, etc. "
